,기사제목,분류
217,한달새 25% 오른'에틸렌 마진'... 석유화학업계 실적반등 기대감,경제
219,HD한국조선 '수주잭팟' 1주일새 2조7218억 계약,경제
220,장애인도 척척…'배리어프리 가전' 돕는 LG 컴포트 키트,경제
222,전성기 온다…'8K TV' 공들이는 삼성전자,경제
224,현대차·제네시스 '중고 전기차' 판다…'메기 효과' 살린다,경제
226,"산업부·코트라, 尹국빈방문 UAE에 무역 사절단 파견",경제
228,"서울시, 역세권 활성화 '주요 간선도로변'까지 확대",경제
230,"檢, '자녀 채용 의혹' 전 중앙선관위 사무차장 구속영장",사회
232,"'자사주 100억 소각·200억 매입'...SK디스커버리 ""주주가치 제고""",경제
234,"SGC에너지 ""배당금 1주당 1700원...245억 규모""",경제
236,"화성시, 6700명 출생 '전국 1위'...출산지원금·다자녀 정책 효과 톡톡",사회
238,"[단독] '마이크론 기다려' 삼성전자, 엔비디아 안방서 'HBM3E 12단' 첫 공개",경제
240,<부고> 이의호씨(조선일보 편집부 차장대우) 모친상,사회
241,농정원 3월부터 '천원의 아침밥' 사업 개시...40곳 참여 확대,경제
242,"""AI주 vs 非AI주 괴리 지나쳐...애플·테슬라 사라""",경제
244,국힘 텃밭 TK 물갈이 대폭 줄었다 [2024 총선],정치
246,"패션 플랫폼 기업 노브랜드, 증권신고서 제출...코스닥 입성 준비 본격화",경제
248,잔류vs탈당..뿔뿔이 흩어지는 민주 컷오프 현역들[2024 총선],정치
250,강원 태백 등 대설특보 발효…인명구조·구호에 산림청 헬기 지원,사회
252,특전사·경찰특공대 합동 '다중이용시설' 대테러 훈련,정치
254,"與 국민추천제, 현역불패 논란 불끄기용? 사실상 전략공천?[2024 총선]",정치
256,"르노코리아 김동진 팀장, 기획재정부 장관 표창",생활
258,"정부, 반도체 소부장 기술개발에 1500억 투입",경제
260,흔들리는 달러?...금과 비트코인은 사상 최고치 [코인브리핑],경제
262,"권향엽 ""민주당, 전략공천 철회해달라…당당히 경선으로 이기겠다""[2024 총선]",사회
264,울산서 총선 예비후보 지지자들 밥값 계산해줬다가 고발돼[2024 총선],정치
266,'파격' 출산지원금 세제지원...'인구위기' 돌파구 되나,경제
268,강원도내 대형병원 경영악화...정부 재정지원 건의,사회
270,6년만 韓공동위에 인도 외교장관 방한..안보실장·산업장관 면담,정치
272,출산 후 2년내 출산지원금 기업·근로자 모두 전액 비과세,경제
274,"새학기, 친구 사귀기 어려워요...""1388 웹 심리검사로 해결하세요""",사회
276,"이재명-조국, 총선 승리 손 잡았지만…연대 가능성은 '의문'[2024 총선]",정치
278,"공정위, 메가커피·bhc 전방위 현장조사",경제
280,"에프앤가이드, 김병철 전 KG제로인 대표 영입",경제
282,밴드 상단 30%도 뚫렸다...IPO 수요예측 버블 극심,경제
284,일산백병원 '심뇌혈관질환 인적 네트워크 시범사업' 선정,생활
286,세계적 인기 노란 고양이 ‘무슈사' 울산과학대에 깜짝 등장해 화제,사회
288,"에틸렌 스프레드 25%↑...석화업계, 터널 지나 반등 조짐",경제
290,[단독] 與 총선공약은 대통령실 민생토론회 '스포일러'? [2024 총선],정치
292,"[단독]與, 의사들 반대하던 '대체조제 활성화' 적극 검토",정치
294,"韓, '캐스팅보트' 중원서 이틀째 세몰이[2024 총선]",정치
296,"한동훈, 이재명-조국 연대에 ""국민에 대단히 해로운 결합""[2024 총선]",정치
298,불법 저지르고 면허 다시 받는 의사들...재발급 심사기준 까다로워지나[김동규의 마약 스톱!],사회
300,부산 등 지방광역시 악성미분양.. 3월 분양 전망 하락,경제
302,"""금리 높아 정상 PF 사업장도 만기 연장 어려워"" 금감원, 2금융 7~8곳 현장검사",경제
304,"""다자녀 국가유공자 가정 지원""..카카오뱅크, 미래드림방 사업에 4억원 기부",경제
306,"네이버, '사우디판 CES'서 세계 첫 웹기반 로봇 OS 공개...중동시장 본격 공략",IT
308,금양 '꿈의 2차전지' 개발...연내 상업생산 추진,경제
310,'일괄 배상 없다' 선그은 이복현..11일 배상기준안 발표,경제
312,"""광화문 광장 초대형 자판기에서 츄파춥스가 와르르"" 이색 동영상 떴다",경제
314,오비맥주 '세계 여성의 날' 맞아 여성 청소년 지원 나선다,경제
316,풀무원다논 '액티비아' 브랜드 앰버서더로 배구선수 '김연경' 재발탁,경제
318,"해태 빨라쪼 ""달콤상큼한 딸기로 봄 가득 느끼세요""",경제
320,이번 화이트데이에는 무설탕 캔디로 사랑을 전하세요,경제
322,"오뚜기 ""제주의 맛보러 북촌 한옥마을로 오세요""",경제
324,"대상 종가 '김치 블라스트 서울 2023', iF 디자인 어워드 2024 2관왕 쾌거",경제
326,"서학개미가 사랑했던 '애구라', 애물단지로 전락",경제
328,빠진 치아 많은데 뼈 약하면 ‘임플란트 틀니’ 하세요,생활
330,[fn마감시황] 기관 매도 속 코스피 하락 마감..2640선,경제
332,"바라바이오, 아이스테이징과 맞손 ""MR 기반 AI R&D 고도화""",IT
334,전국 14개공항 홍보대사에 배우 '안보현' 위촉,경제
336,"첫 현장간담회로 SW업계 찾은 강도현 차관...""SaaS 전환정책 현실화 돕겠다""",IT
338,"상반기 대규모 채용 나선 KAI...""17개 분야 100명 이상""",경제
340,지역 경제에도 '역동성' 제고방안 강구...내년 예산 계획 담는다,경제
342,자동차·금융으로 차익 실현...'빈집 찾기' 나선다,경제
344,"""혹시나 했는데"" 실망 안긴 초전도체 발표에 테마주 급락",경제
346,"의협, 문서 파쇄로 고발당해…""개인정보 폐기""",사회
348,"두산에너빌리티, 항공엔진사업 추진..가스터빈 기술 확대",경제
350,SGC이테크건설→SGC E&C로 사명 변경 추진,경제
352,"광주시교육청, 광주AI교육원 신축...2026년 1월 개관 목표",사회
354,"한미반도체, '납세자의 날' 모범납세자 표창",경제
356,"이재명, '권향엽 사천' 논란에 ""제 아내는 아무런 개인적 인연 없다""[2024 총선]",정치
358,NH투자증권 사장 윤병운·유찬형·사재훈 3파전,경제
360,"문재인, ""더 큰 역할 해달라"" 당부...김동연 ""최선 다하겠다""",사회
362,"부산 기장군, 7일 '의료용 중입자 가속기' 주민설명회",사회
364,"싱가포르, 2026년부터 정년 퇴직 연령 64세로 1년 연장",경제
366,"농협금융, 美 LACP 비전 어워즈 대상 수상",경제
368,"""시민 생명 위태롭습니다"" 울산시 병원 떠난 전공의들에게 호소",사회
370,"못받은 양육비, 정부가 먼저 준다...'양육비 선지급제' 내년 도입",사회
372,"국힘, 서울·대구·울산서 국민공천 실시…""정치 신인 발굴할 것""[2024 총선]",정치
374,"전남도교육청, 강진에 전남국제직업고 신설...2026년 3월 개교 목표",사회
376,"산업장관, 인도 외교장관에 ""산업협력위 조속히 신설해야""",경제
378,"새벽, 심야 시간대 '지하철 끝자리'를 조심해야 하는 이유",사회
380,"KCL, 우즈벡 건축산업協과 시험인증센터 구축 '맞손'",사회
382,"""암 걸려 그만둡니다""…경비원 위해 1000만원 모금한 아파트 주민들 [따뜻했슈]",사회
384,"정부·조선 3사, 9조 투입해 미래 초격차 기술확보 나선다",경제
386,어학·직무교육 받고 해외취업 성공…'K-무브 스쿨' 2418명 모집,사회
388,"박근혜 최측근 유영하, 대구 달서갑 공천[2024 총선]",사회
390,"현대차·제네시스, 이달 '중고 전기차'도 판다..'메기효과' 통할까",경제
392,"""당신이 곁에 있어 나는 언제나 봄날입니다"" 경남은행 ‘다섯 번째 공감글판’ 게시",경제
394,"尹 ""청년에 대한 약간의 투자, 돈 되는 장사""",정치
396,"DGB대구은행, 통합위기상황분석 시스템 구축",경제
398,"정부, 청년에 10만개 일경험 기회 준다...제조업 취업시 최대 200만원",사회
400,감염병 예방용 살균소독 티슈 '이디 와입스 플러스',생활
402,청년 국정 운영 참여 채널 확대한다 [민생토론회],경제
404,<인사> 농촌진흥청,사회
405,개혁신당 “중위 소득 이하 가구 자녀에 공모주 우선 배정…자산 양극화 해결”[2024 총선],정치
407,"한동훈 ""저출생 문제, 보편적 복지로 가야…현금 복지 늘려야""[2024 총선]",정치
409,<부고> 박효일씨(프로야구 KIA 타이거즈 코치) 부친상,사회
410,"한화오션, KDDX 기밀유출 사건 '강경 대응'...HD현대重 ""끝난 문제""",경제
412,"北, 한미연습 반발 ""응분 대가 치를 것""...도발 재개 시사",정치
414,게임체인저·국제협력 R&D 집중..예산규모 5월 윤곽,정치
416,"국힘, 달서갑 유영하·강남병 고동진·부천을 박성중 공천…이용은 경선[2024 총선]",정치
418,군 장병의 '건강수호자' 최정예 간호장교 83명 임관,정치
420,"軍병원 응급실 개방 15일째 ""민간인 이용 누적 139명""",정치
422,커지는 생활비·교통비 부담에 롯데카드 디지로카앱 '반띵' 이벤트 인기,경제
424,"매번 '이겼던' 의사들..정부 사법처리 착수에 당황 ""진짜 할 줄이야""",사회
426,韓 1인당 국민소득 3만3745달러...“대만 재역전”,경제
428,"최상목 부총리 ""근로자가 받은 출산지원금 '전액 비과세'...세부담 無""",경제
430,"강원랜드·산림청, 탄소중립 및 ESG 경영 업무협약",사회
432,"BNK부산은행, 부산문화재단에 문화예술 발전기금 전달",경제
434,국민은행 '기업가형 소상공인' 키운다...1000억원 규모 협약보증 단독 지원,경제
436,"檢, '유아인에 프로포폴 처방한 의사' 징역 3년 구형",사회
438,'아시아나 화물' 적격인수 후보에 LCC 4곳 선정,경제
440,"“이화영, 대북송금 이재명에 보고”….""묻지 않았는데 스스로 진술""",사회
442,"하나금융 ""봄맞이 옷정리하면 가까운 하나은행에 기부하세요""",경제
444,"김동연, 노무현 묘역 참배 ""대통령님 뜻 잇겠다"" 다짐",사회
446,삼성SDI 양극재 공장 착공 2년 반 앞당겨.. 울산시 친기업 행정 또 빛나,사회
448,의료파업 2라운드…경찰 전공의 수사 본격화 되나,사회
450,인천 계양구 3000가구 매머드급 대단지 '출격',경제
452,"공수처, '채상병 피고발인' 이종섭 호주대사 임명에 ""방안 검토 중""",사회
454,이재명 손잡은 조국... 질곡을 헤쳐나갈 동지 [2024총선],정치
456,"하남시, 무주택 신혼부부에 전월세자금 대출이자 지원",사회
458,인천 수봉공원 40년 만에 고도제한규제 완화 추진,사회
460,<인사> 한국감정평가사협회,경제
461,"조희연, 늘봄학교 현장 방문…""1학기 중 150개교로 확대""",사회
463,"""IITP가 디지털 R&D 혁신 생태계 가교역할 하겠다""",IT
465,"대학들 의대증원 신청 3401명..의협 ""정부, 대학 압박 만행의 결과""",사회
467,"안양시, 이달 11일 LGU+ 특고압선 구간 '차폐판' 설치 착공",사회
469,"HDC현대산업개발, H1 프로젝트 연내 착공...복합개발 비전 제시",경제
471,분담금 12억 폭탄 '남일 아니다'...공사비 3.3㎡당 1000만원 시대 열렸다[부동산 아토즈],경제
473,"""은행의 새로운 표준을 만드는 토스뱅크에 합류하세요""",경제
475,GA도 기업평가 받는다..상반기 내 결과 공개될 듯,경제
476,"도드람, 2024년 정기대의원회 ""경상이익 45억원 달성""",경제
478,"신한금융 ""슈퍼쏠, iF디자인 어워드 본상 수상""",경제
480,"'혈액암' 경비원 돕자, 1천만원 모은 입주민들…'명품아파트는 이런 곳'",사회
482,'메이플스토리' 피해자 5800여명 집단분쟁조정 신청,IT
484,"""맞춤형 수출 지원 필요""에 오 차관 ""적극 반영""",경제
485,"""성별·나이·장애유무 상관없이 손쉽게""...LG전자, 컴포트 키트 출시",경제
487,"""中방한관광 시장 회복 전환점"".. 문체부·관광공사, 테마 콘텐츠로 유커 공략",생활
489,"보해양조, 매취순 10년산 15년 만에 단종",경제
491,BNP파리바은행 서울지점 신임 대표 도로테 레가조니 선임,경제
493,"[속보] 與, 대구 달서갑 유영하·강남병 고동진·부천을 박성중 공천",정치
495,"韓영화산업모델, 베트남에 이식했더니.. 역대 박스오피스 1위 또 경신",생활
497,‘TIGER 미국테크TOP10+10%프리미엄’ 순자산 1000억 돌파,경제
499,"[속보] 與, 강남갑·을, 대구 동구군위갑·북구갑, 울산 남구갑 국민추천 지역 선정",정치
501,"홍준표 ""박정희 광장 명칭 변경+동상 건립"" 천명",사회
503,"'광주비엔날레 6개월 앞으로'..광주광역시, 전시 및 프리오픈 등 준비 '순조'",사회
505,"청년 장학금에 세제지원까지..尹 ""제가 든든한 후원자 될 것""",정치
507,김동연 지사 만난 양주시의원들...'현안 사업' 지원 요청,사회
509,<인사> 여성가족부,사회
510,청년도약계좌 연봉 5800만원도 가입 가능..3년만 유지해도 비과세 혜택,경제
512,"첼리스트 김가은, 샤트 현악 콩쿠르 韓 최초 첼로 부문 우승",생활
514,"경기신보-NH농협은행, 3000억 규모 '특별출연 협약보증' 지원",사회
516,"신한운용, SOL 한국형글로벌 반도체 액티브 ETF 1년 수익률 70% 돌파",경제
517,"영등포갑 찾은 이재명, 국힘 입당 김영주 겨냥 ""도저히 납득 안돼""[2024 총선]",정치
519,"신보중앙회, 세종시로 이전…""세종시대 개막""",경제
521,"투교협, 어린이 위한 ‘생활 속의 금융‘ 온라인 콘텐츠 제작 배포",경제
522,[fn오후시황] 코스피 약세 속 SK하이닉스 52주 신고가 경신,경제
524,"부산 남구, 7층 규모 청사 별관 개관",사회
526,"동아오츠카, 2050년까지 ‘플라스틱 제로’ 선언",경제
528,"여주시, '꿈꾸는대로' 청년 면접정장 대여사업 진행",사회
530,"광주광역시 ""광주상생카드 유효기간 만료일 도래, 재발급 받으세요""",사회
532,"""사고 직후 '교통사고접수증'만으로도 보험금을 청구할 수 있습니다""",경제
534,"""너 때문에 죽는거야"".. 이별 통보에 여친 반려견 쓰레기봉투 담아 유기한 男",사회
536,"금값, 온스당 2100달러 돌파 ‘역대 최고치’...“美 연준 6월 피봇 기대감 영향”",경제
538,"서울 서대문구, 모래내‧서중 양대 시장 정비사업 준공 인가",경제
540,"삼현 ""모션컨트롤 전문 리딩기업으로 도약""...21일 코스닥 입성",경제
542,"[속보]尹 ""양육비 선지급제 도입, 기업 출산지원금 전액 비과세""",정치
544,"한국에스티엘과 사만사타바사 재팬, 공동 프로젝트 선보여",경제
546,코카-콜라 '캐나다 드라이 진저에일 토닉'도 이젠 '제로',경제
548,"[속보]尹 ""수영장 헬스 이용료 등 문화비 소득공제 적용""",정치
550,"충남도,현대車와 서산 간척지서 '하늘나는 택시' 띄운다",사회
552,"셀트리온, 올해 첫 자사주 매입 결정 750억원 규모",IT
554,"[속보] 정부, 기업 지급 출산지원금 '전액 비과세'",경제
556,"롯데리조트속초 ""호캉스하며 이영현X이현우 콘서트 즐기세요""",경제
558,"청주 시장 찾은 한동훈 ""상인들 위한 상업용 전기요금체계 준비""[2024 총선]",정치
560,"BIS, 세계 중앙은행 물가와의 전쟁 승리 눈앞에 둬",경제
562,"""마약류 범죄 낮추려먼 사회경제적 재활프로그램 병행해야""[마약중독과 싸우는 사람들<10>]",사회
564,"[속보]尹 ""200만명 대학생 중 150만명에 국가장학금 지급""",정치
566,"명품 테이블웨어 여기 다있네..쿠팡, 프리미엄 브랜드 파격 세일",경제
568,"[특징주] 투비소프트, 정부 '디지털 행정서비스' 확대↑…공공기관 등 DX사업 수주",경제
570,호텔베딩에 자연소재…침구업계 봄맞이 '후끈',경제
572,"전남경진원-중진공, 중소벤처기업 수출 및 지역 경제 활성화 '맞손'",사회
574,"바이이오파운드리, AI·로봇 결합해 무인화한다",IT
576,공천탈락 반발 이틀 연속 분신 시도...與 공천 탈락자 구속 기로,사회
578,"메가존클라우드, ‘시스코 프리미어 프로바이더’ 자격 획득",IT
580,지하도로 안정적 운영 방안 논의.. '도로 미래상' 정책 세미나,경제
582,"LG엔솔 ""'인터배터리 2024' 종합 최고 혁신상 수상'",경제
584,"구미시, 반도체 투자 청신호·㈜KEC와 648억 규모 협약",사회
586,"KT&G, 상상마당서 ‘서해수호의 날’ 추모 전시회 개최",경제
588,"""2년 연속 자사주 소각""...SK네트웍스, 주주친화 정책 박차",경제
590,"네이버, 올해 신입 공채 진행‥ 18일까지 접수",IT
592,서울 강동구 ‘더샵 둔촌포레’ 572가구 공급,경제
594,"""마리 퀴리, 해냈다"" K-창작뮤지컬, 웨스트엔드 초연 ""6월 1일 개막""",생활
596,"""韓 이동통신 40년 역사,  AI 전환으로 미래 준비해야""",IT
598,"한승구 대한건설협회 신임 회장, ""건설산업 부흥""  취임일성",경제
600,장애인거주시설 가정형 주거공간으로 전면 개편,사회
602,"목포시, 통합바이오가스화 시설 설치 추진...2029년 완공 목표",사회
604,시장 가게에 1년동안 '오물 봉지' 상습 투기한 男 정체 '충격' [영상],사회
606,디스커버리 익스페디션 새 얼굴로 청춘 스타 변우석 발탁,생활
608,우리자산운용 대표에 최승재,경제
610,"프리즘(PRIZM)-서울신라호텔, 라이브 프로모션 실시",경제
612,"심야 지하철서 잠든 취객만 '슬쩍'…경찰, '부축빼기' 일당 검거",사회
614,"동아대 연구팀, 면역조절세포 염증성 피부질환 억제기능 규명",사회
616,"국회, 정부에 흩어진 정책 데이터 통합검색 가능한 '혁신 플랫폼' 등장",정치
618,"삼성운용, '韓부동산 리츠인프라ETF' 등 신상품 2종 출시",경제
620,"""접근금지 명령 어겼다면 출입절차 지켰어도 건조물침입"" 대법",사회
622,"'팝키즈 작가' 최윤정 전시 ""미디어와 인간 욕망 주목""",생활
624,"[공시] 셀트리온, 올해 첫 자사주 매입..750억 규모",경제
626,"서울시-구글, AI 스타트업 창업자 육성한다",사회
628,"이재형 조양국제종랍물류 회장, 관세동우회 산하 관우장학회에 1억 쾌척",사회
630,"롯데몰 동부산점, 기장지역 소외계층돕기 식료품세트 기부",사회
632,"[특징주] 컴투스홀딩스, 코인원 거래액 64만배↑...2대 주주 부각에 '강세'",경제
634,"피아이이 ""이차전지 투자 확대 수혜 기대..수주잔고 650억원""",경제
636,"와이즈에이아이, AI 마케팅 플랫폼 ‘에이유’ 서울안심치과에 첫 공급",경제
638,심야 지하철서 잠든 승객 휴대폰을 슬쩍…2명 구속 송치,사회
640,"아모레퍼시픽미술관, '스티븐 해링턴: 스테이 멜로' 개최",생활
